name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage_kmpl,engine_cc,max_power_bhp,seats,brand,model,model_variants,km_driven_bin,engine_bin,mileage_bin
Maruti Zen LX,2005,92000,100000,Petrol,Individual,Manual,Second Owner,17.3,993,60.0,5.0,Maruti,Zen,LX,90000 km - 100000 km,900 cc - 1000 cc,15 kmpl - 20 kmpl
Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5.0,Maruti,Swift,Dzire VDi,130000 km - 140000 km,1200 cc - 1300 cc,15 kmpl - 20 kmpl
Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Individual,Manual,Second Owner,18.9,1061,67.0,5.0,Maruti,Wagon,R LXI Minor,80000 km - 90000 km,1000 cc - 1100 cc,15 kmpl - 20 kmpl
Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,5.0,Mahindra,KUV,100 mFALCON G80 K8 5str,30000 km - 40000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7.0,Maruti,Ertiga,SHVS VDI,60000 km - 70000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5.0,Hyundai,i20,1.4 CRDi Asta,50000 km - 60000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Maruti Alto LX,2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Maruti,Alto,LX,70000 km - 80000 km,700 cc - 800 cc,15 kmpl - 20 kmpl
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5.0,Hyundai,i20,2015-2017 Asta 1.4 CRDi,90000 km - 100000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,5.0,Mahindra,Verito,1.5 D4 BSIII,90000 km - 100000 km,1400 cc - 1500 cc,20 kmpl - 25 kmpl
Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5.0,Honda,WR-V,i-DTEC VX,40000 km - 50000 km,1400 cc - 1500 cc,25 kmpl - 30 kmpl
Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Maruti,Swift,Dzire ZDI,30000 km - 40000 km,1200 cc - 1300 cc,25 kmpl - 30 kmpl
Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5.0,Maruti,SX4,ZDI,70000 km - 80000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Tata Tigor 2017-2020 XZ,2018,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,5.0,Tata,Tigor,2017-2020 XZ,30000 km - 40000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Maruti Baleno Delta 1.2,2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,Maruti,Baleno,Delta 1.2,40000 km - 50000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Maruti Alto 800 LXI,2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5.0,Maruti,Alto,800 LXI,20000 km - 30000 km,700 cc - 800 cc,20 kmpl - 25 kmpl
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,7.0,Chevrolet,Enjoy,TCDi LTZ 7 Seater,60000 km - 70000 km,1200 cc - 1300 cc,15 kmpl - 20 kmpl
Maruti Wagon R LXI Minor,2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,5.0,Maruti,Wagon,R LXI Minor,110000 km - 120000 km,1000 cc - 1100 cc,15 kmpl - 20 kmpl
Maruti Omni E MPI STD BS IV,2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8.0,Maruti,Omni,E MPI STD BS IV,20000 km - 30000 km,700 cc - 800 cc,15 kmpl - 20 kmpl
Maruti Vitara Brezza LDi Option,2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Maruti,Vitara,Brezza LDi Option,60000 km - 70000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Maruti Omni 8 Seater BSIV,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,5.0,Maruti,Omni,8 Seater BSIV,30000 km - 40000 km,700 cc - 800 cc,10 kmpl - 15 kmpl
Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5.0,Hyundai,i20,1.2 Asta Dual Tone,0 km - 10000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Maruti Vitara Brezza LDi,2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Maruti,Vitara,Brezza LDi,10000 km - 20000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Maruti Alto 800 CNG LXI Optional,2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,4.0,Maruti,Alto,800 CNG LXI Optional,0 km - 10000 km,700 cc - 800 cc,30 kmpl - 35 kmpl
Maruti Alto K10 VXI Airbag,2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,5.0,Maruti,Alto,K10 VXI Airbag,10000 km - 20000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,Hyundai,Verna,VTVT 1.6 SX Option,0 km - 10000 km,1500 cc - 1600 cc,15 kmpl - 20 kmpl
Datsun GO D,2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5.0,Datsun,GO,D,40000 km - 50000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7.0,Tata,Safari,DICOR 2.2 LX 4x2,50000 km - 60000 km,2100 cc - 2200 cc,10 kmpl - 15 kmpl
Maruti 800 Std,2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4.0,Maruti,800,Std,70000 km - 80000 km,700 cc - 800 cc,15 kmpl - 20 kmpl
Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,5.0,Jeep,Compass,1.4 Limited Plus BSIV,0 km - 10000 km,1300 cc - 1400 cc,15 kmpl - 20 kmpl
Honda City i VTEC VX,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5.0,Honda,City,i VTEC VX,20000 km - 30000 km,1400 cc - 1500 cc,15 kmpl - 20 kmpl
Honda City V MT,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5.0,Honda,City,V MT,80000 km - 90000 km,1400 cc - 1500 cc,15 kmpl - 20 kmpl
Maruti Swift Dzire VXi AT,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,5.0,Maruti,Swift,Dzire VXi AT,20000 km - 30000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Maruti Vitara Brezza VDi,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5.0,Maruti,Vitara,Brezza VDi,30000 km - 40000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Maruti Alto K10 VXI,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5.0,Maruti,Alto,K10 VXI,10000 km - 20000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Toyota Fortuner 4x4 MT,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,7.0,Toyota,Fortuner,4x4 MT,70000 km - 80000 km,nan,10 kmpl - 15 kmpl
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,7.0,Toyota,Innova,2.5 G (Diesel) 7 Seater BS IV,90000 km - 100000 km,2400 cc - 2500 cc,10 kmpl - 15 kmpl
Mercedes-Benz B Class B180,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5.0,Mercedes-Benz,B,Class B180,20000 km - 30000 km,2100 cc - 2200 cc,10 kmpl - 15 kmpl
Honda Amaze S Diesel,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5.0,Honda,Amaze,S Diesel,40000 km - 50000 km,1400 cc - 1500 cc,20 kmpl - 25 kmpl
Mitsubishi Pajero Sport 4X4,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7.0,Mitsubishi,Pajero,Sport 4X4,150000 km - 160000 km,2400 cc - 2500 cc,10 kmpl - 15 kmpl
Honda City i DTEC S,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,5.0,Honda,City,i DTEC S,50000 km - 60000 km,1400 cc - 1500 cc,25 kmpl - 30 kmpl
Maruti Ciaz Zeta,2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,5.0,Maruti,Ciaz,Zeta,60000 km - 70000 km,1400 cc - 1500 cc,20 kmpl - 25 kmpl
Honda Jazz VX Diesel,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,5.0,Honda,Jazz,VX Diesel,60000 km - 70000 km,1400 cc - 1500 cc,25 kmpl - 30 kmpl
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7.0,Toyota,Innova,Crysta 2.8 ZX AT BSIV,120000 km - 130000 km,2700 cc - 2800 cc,10 kmpl - 15 kmpl
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,7.0,Toyota,Innova,2.5 G (Diesel) 7 Seater,90000 km - 100000 km,2400 cc - 2500 cc,10 kmpl - 15 kmpl
Audi A6 2.0 TDI Technology,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,5.0,Audi,A6,2.0 TDI Technology,30000 km - 40000 km,1900 cc - 2000 cc,15 kmpl - 20 kmpl
Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5.0,Toyota,Corolla,Altis 1.8 VL CVT,20000 km - 30000 km,1700 cc - 1800 cc,10 kmpl - 15 kmpl
Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,5.0,Audi,A6,2.0 TDI  Design Edition,40000 km - 50000 km,1900 cc - 2000 cc,15 kmpl - 20 kmpl
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,5.0,Mercedes-Benz,New,C-Class 220 CDI AT,50000 km - 60000 km,2100 cc - 2200 cc,10 kmpl - 15 kmpl
Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5.0,Tata,Manza,ELAN Quadrajet BS IV,110000 km - 120000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Hyundai i10 Magna,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5.0,Hyundai,i10,Magna,100000 km - 110000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5.0,Hyundai,i20,Asta 1.4 CRDi,50000 km - 60000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Maruti Swift Dzire ZDI,2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,5.0,Maruti,Swift,Dzire ZDI,140000 km - 150000 km,1200 cc - 1300 cc,25 kmpl - 30 kmpl
Ford Figo 1.2P Titanium MT,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5.0,Ford,Figo,1.2P Titanium MT,20000 km - 30000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Maruti Baleno Delta 1.2,2019,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,Maruti,Baleno,Delta 1.2,20000 km - 30000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,5.0,Volkswagen,Ameo,1.5 TDI Highline 16 Alloy,30000 km - 40000 km,1400 cc - 1500 cc,20 kmpl - 25 kmpl
Honda City i DTEC VX,2015,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5.0,Honda,City,i DTEC VX,130000 km - 140000 km,1400 cc - 1500 cc,25 kmpl - 30 kmpl
Maruti Wagon R AMT VXI,2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5.0,Maruti,Wagon,R AMT VXI,20000 km - 30000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5.0,Volkswagen,Ameo,1.5 TDI Comfortline,70000 km - 80000 km,1400 cc - 1500 cc,20 kmpl - 25 kmpl
Maruti Vitara Brezza VDi,2016,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Maruti,Vitara,Brezza VDi,60000 km - 70000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5.0,Maruti,Vitara,Brezza ZDi Plus AMT,0 km - 10000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Hyundai i10 Magna,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5.0,Hyundai,i10,Magna,50000 km - 60000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Maruti Swift VDI Deca,2016,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5.0,Maruti,Swift,VDI Deca,60000 km - 70000 km,1200 cc - 1300 cc,25 kmpl - 30 kmpl
Toyota Fortuner 4x4 MT,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7.0,Toyota,Fortuner,4x4 MT,70000 km - 80000 km,nan,10 kmpl - 15 kmpl
Maruti Swift Star VDI,2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,Maruti,Swift,Star VDI,110000 km - 120000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Maruti Ertiga ZXI,2012,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7.0,Maruti,Ertiga,ZXI,110000 km - 120000 km,1300 cc - 1400 cc,15 kmpl - 20 kmpl
Volkswagen Vento Diesel Highline,2013,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5.0,Volkswagen,Vento,Diesel Highline,160000 km - 170000 km,1500 cc - 1600 cc,20 kmpl - 25 kmpl
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8.0,Toyota,Innova,2.5 VX (Diesel) 8 Seater,130000 km - 140000 km,2400 cc - 2500 cc,10 kmpl - 15 kmpl
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5.0,Ford,EcoSport,1.5 TDCi Titanium Plus BSIV,80000 km - 90000 km,1400 cc - 1500 cc,20 kmpl - 25 kmpl
BMW X1 sDrive20i xLine,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,5.0,BMW,X1,sDrive20i xLine,20000 km - 30000 km,1900 cc - 2000 cc,15 kmpl - 20 kmpl
Maruti Celerio ZXI MT BSIV,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5.0,Maruti,Celerio,ZXI MT BSIV,0 km - 10000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Datsun GO A Petrol,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5.0,Datsun,GO,A Petrol,40000 km - 50000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Maruti Alto 800 VXI BSIV,2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5.0,Maruti,Alto,800 VXI BSIV,30000 km - 40000 km,700 cc - 800 cc,20 kmpl - 25 kmpl
Maruti Alto 800 LXI BSIV,2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5.0,Maruti,Alto,800 LXI BSIV,30000 km - 40000 km,700 cc - 800 cc,20 kmpl - 25 kmpl
Hyundai i10 Era 1.1,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5.0,Hyundai,i10,Era 1.1,20000 km - 30000 km,1000 cc - 1100 cc,15 kmpl - 20 kmpl
Maruti Omni 8 Seater BSIV,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,5.0,Maruti,Omni,8 Seater BSIV,30000 km - 40000 km,700 cc - 800 cc,10 kmpl - 15 kmpl
Maruti Wagon R LXI LPG BSIV,2010,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5.0,Maruti,Wagon,R LXI LPG BSIV,40000 km - 50000 km,900 cc - 1000 cc,25 kmpl - 30 kmpl
Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5.0,Volkswagen,Polo,1.2 MPI Comfortline,40000 km - 50000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Hyundai i10 Magna 1.1L,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5.0,Hyundai,i10,Magna 1.1L,40000 km - 50000 km,1000 cc - 1100 cc,15 kmpl - 20 kmpl
Volkswagen Vento Petrol Highline,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5.0,Volkswagen,Vento,Petrol Highline,10000 km - 20000 km,1500 cc - 1600 cc,15 kmpl - 20 kmpl
Maruti Zen Estilo LXI BSIII,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5.0,Maruti,Zen,Estilo LXI BSIII,50000 km - 60000 km,900 cc - 1000 cc,15 kmpl - 20 kmpl
Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5.0,Hyundai,i20,Asta Optional with Sunroof 1.2,60000 km - 70000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Maruti Swift Dzire LDI,2016,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Maruti,Swift,Dzire LDI,140000 km - 150000 km,1200 cc - 1300 cc,25 kmpl - 30 kmpl
Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,5.0,Hyundai,Xcent,1.2 Kappa SX Option AT,70000 km - 80000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Maruti Alto LX BSIII,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5.0,Maruti,Alto,LX BSIII,60000 km - 70000 km,700 cc - 800 cc,15 kmpl - 20 kmpl
Hyundai i20 1.4 Asta Option,2017,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5.0,Hyundai,i20,1.4 Asta Option,100000 km - 110000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Maruti Wagon R VXI,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5.0,Maruti,Wagon,R VXI,70000 km - 80000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,5.0,Tata,Manza,Aura (ABS) Quadrajet,90000 km - 100000 km,1200 cc - 1300 cc,15 kmpl - 20 kmpl
Maruti Swift VXI,2019,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5.0,Maruti,Swift,VXI,0 km - 10000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,7.0,Maruti,Eeco,7 Seater Standard BSIV,90000 km - 100000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Maruti Baleno Zeta 1.2,2018,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,Maruti,Baleno,Zeta 1.2,30000 km - 40000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8.0,Mahindra,Scorpio,VLX AT AIRBAG BSIV,60000 km - 70000 km,2100 cc - 2200 cc,10 kmpl - 15 kmpl
Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,5.0,Ford,Freestyle,Titanium Petrol BSIV,0 km - 10000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Hyundai Verna VTVT 1.6 SX,2017,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,Hyundai,Verna,VTVT 1.6 SX,30000 km - 40000 km,1500 cc - 1600 cc,15 kmpl - 20 kmpl
Volkswagen Passat 1.8 TSI MT,2010,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,5.0,Volkswagen,Passat,1.8 TSI MT,110000 km - 120000 km,1700 cc - 1800 cc,10 kmpl - 15 kmpl
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65.0,5.0,Tata,Indica,Vista Aura 1.2 Safire (ABS) BS IV,40000 km - 50000 km,1100 cc - 1200 cc,15 kmpl - 20 kmpl
Mahindra XUV500 W11 Option AWD,2019,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,7.0,Mahindra,XUV500,W11 Option AWD,30000 km - 40000 km,2100 cc - 2200 cc,15 kmpl - 20 kmpl
Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5.0,Tata,Indigo,CS LS (TDI) BS-III,90000 km - 100000 km,1400 cc - 1500 cc,15 kmpl - 20 kmpl
Hyundai Verna 1.6 SX,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5.0,Hyundai,Verna,1.6 SX,140000 km - 150000 km,1500 cc - 1600 cc,20 kmpl - 25 kmpl
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5.0,Hyundai,i20,Magna 1.4 CRDi (Diesel),60000 km - 70000 km,1300 cc - 1400 cc,20 kmpl - 25 kmpl
Toyota Corolla Altis G,2009,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5.0,Toyota,Corolla,Altis G,90000 km - 100000 km,1700 cc - 1800 cc,10 kmpl - 15 kmpl
Maruti Celerio VXI,2020,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5.0,Maruti,Celerio,VXI,10000 km - 20000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Maruti,Vitara,Brezza ZDi Plus Dual Tone,50000 km - 60000 km,1200 cc - 1300 cc,20 kmpl - 25 kmpl
Maruti Swift Dzire VXI,2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5.0,Maruti,Swift,Dzire VXI,30000 km - 40000 km,1100 cc - 1200 cc,20 kmpl - 25 kmpl
Maruti Wagon R VXI BS IV,2017,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,Maruti,Wagon,R VXI BS IV,30000 km - 40000 km,900 cc - 1000 cc,20 kmpl - 25 kmpl
Nissan Terrano XL 85 PS,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5.0,Nissan,Terrano,XL 85 PS,60000 km - 70000 km,1400 cc - 1500 cc,20 kmpl - 25 kmpl
