brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,model,km_driven_binned,engine_binned,mileage_binned,max_power_binned
Mahindra,2011,174000,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,5.0,Verito,100000-109999,1400-1499,20-24.990000000000002,60-79
Honda,2017,950000,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5.0,WR-V,50000-59999,1400-1499,25-29.990000000000002,80-99
Maruti,2015,525000,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Swift,40000-49999,1200-1299,25-29.990000000000002,60-79
Maruti,2012,600000,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5.0,SX4,70000-79999,1200-1299,20-24.990000000000002,80-99
Tata,2018,500000,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,5.0,Tigor,30000-39999,1100-1199,20-24.990000000000002,80-99
Maruti,2016,575000,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,Baleno,40000-49999,1100-1199,20-24.990000000000002,80-99
Maruti,2017,275000,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5.0,Alto,20000-29999,700-799,20-24.990000000000002,40-59
Chevrolet,2013,300000,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,7.0,Enjoy,70000-79999,1200-1299,15-19.990000000000002,60-79
Maruti,2009,220000,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,5.0,Wagon,120000-129999,1000-1099,15-19.990000000000002,60-79
Maruti,2018,254999,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8.0,Omni,20000-29999,700-799,15-19.990000000000002,20-39
Maruti,2017,670000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Vitara,70000-79999,1200-1299,20-24.990000000000002,80-99
Maruti,2012,150000,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,5.0,Omni,30000-39999,700-799,10-14.99,20-39
Hyundai,2018,730000,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5.0,i20,0-9999,1100-1199,15-19.990000000000002,80-99
Maruti,2017,650000,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Vitara,10000-19999,1200-1299,20-24.990000000000002,80-99
Maruti,2019,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,4.0,Alto,10000-19999,700-799,30-34.99,40-59
Maruti,2019,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,5.0,Alto,10000-19999,900-999,20-24.990000000000002,60-79
Hyundai,2019,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,Verna,0-9999,1500-1599,15-19.990000000000002,120-139
Datsun,2016,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5.0,GO,40000-49999,1100-1199,20-24.990000000000002,60-79
Tata,2011,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7.0,Safari,60000-69999,2100-2199,10-14.99,120-139
Maruti,2012,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4.0,800,70000-79999,700-799,15-19.990000000000002,20-39
Jeep,2019,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,5.0,Compass,0-9999,1300-1399,15-19.990000000000002,160-179
Honda,2018,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5.0,City,20000-29999,1400-1499,15-19.990000000000002,100-119
Honda,2013,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5.0,City,80000-89999,1400-1499,15-19.990000000000002,100-119
Maruti,2018,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,5.0,Swift,20000-29999,1100-1199,15-19.990000000000002,80-99
Maruti,2018,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5.0,Vitara,30000-39999,1200-1299,20-24.990000000000002,80-99
Maruti,2018,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5.0,Alto,10000-19999,900-999,20-24.990000000000002,60-79
Toyota,2014,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,7.0,Fortuner,70000-79999,2900-2999,10-14.99,160-179
Toyota,2013,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,7.0,Innova,90000-99999,2400-2499,10-14.99,100-119
Mercedes-Benz,2014,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5.0,B,20000-29999,2100-2199,10-14.99,120-139
Honda,2015,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5.0,Amaze,40000-49999,1400-1499,20-24.990000000000002,80-99
Mitsubishi,2013,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7.0,Pajero,150000-159999,2400-2499,10-14.99,160-179
Honda,2015,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,5.0,City,50000-59999,1400-1499,25-29.990000000000002,80-99
Maruti,2018,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,5.0,Ciaz,60000-69999,1400-1499,20-24.990000000000002,100-119
Honda,2015,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,5.0,Jazz,60000-69999,1400-1499,25-29.990000000000002,80-99
Toyota,2016,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7.0,Innova,120000-129999,2700-2799,10-14.99,160-179
Toyota,2016,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,7.0,Innova,90000-99999,2400-2499,10-14.99,100-119
Audi,2013,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,5.0,A6,30000-39999,1900-1999,15-19.990000000000002,160-179
Toyota,2018,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5.0,Corolla,20000-29999,1700-1799,10-14.99,120-139
Audi,2013,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,5.0,A6,50000-59999,1900-1999,15-19.990000000000002,180-199
Mercedes-Benz,2013,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,5.0,New,50000-59999,2100-2199,10-14.99,160-179
Tata,2011,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5.0,Manza,120000-129999,1200-1299,20-24.990000000000002,80-99
Hyundai,2011,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5.0,i10,110000-119999,1100-1199,20-24.990000000000002,60-79
Hyundai,2013,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5.0,i20,60000-69999,1300-1399,20-24.990000000000002,80-99
Maruti,2015,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,5.0,Swift,140000-149999,1200-1299,25-29.990000000000002,60-79
Ford,2017,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5.0,Figo,20000-29999,1100-1199,15-19.990000000000002,80-99
Maruti,2019,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,Baleno,30000-39999,1100-1199,20-24.990000000000002,80-99
Volkswagen,2016,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,5.0,Ameo,40000-49999,1400-1499,20-24.990000000000002,100-119
Honda,2015,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5.0,City,130000-139999,1400-1499,25-29.990000000000002,80-99
Maruti,2018,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5.0,Wagon,30000-39999,900-999,20-24.990000000000002,60-79
Volkswagen,2017,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5.0,Ameo,80000-89999,1400-1499,20-24.990000000000002,100-119
Maruti,2016,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Vitara,70000-79999,1200-1299,20-24.990000000000002,80-99
Maruti,2019,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5.0,Vitara,0-9999,1200-1299,20-24.990000000000002,80-99
Hyundai,2011,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5.0,i10,60000-69999,1100-1199,20-24.990000000000002,60-79
Maruti,2016,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5.0,Swift,70000-79999,1200-1299,25-29.990000000000002,60-79
Toyota,2015,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7.0,Fortuner,70000-79999,2900-2999,10-14.99,160-179
Maruti,2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,Swift,120000-129999,1200-1299,20-24.990000000000002,60-79
Maruti,2012,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7.0,Ertiga,120000-129999,1300-1399,15-19.990000000000002,80-99
Volkswagen,2013,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5.0,Vento,170000-179999,1500-1599,20-24.990000000000002,100-119
Toyota,2016,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8.0,Innova,140000-149999,2400-2499,10-14.99,100-119
Ford,2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5.0,EcoSport,90000-99999,1400-1499,20-24.990000000000002,80-99
BMW,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,5.0,X1,30000-39999,1900-1999,15-19.990000000000002,180-199
Maruti,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5.0,Celerio,10000-19999,900-999,20-24.990000000000002,60-79
Datsun,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5.0,GO,40000-49999,1100-1199,15-19.990000000000002,60-79
Maruti,2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5.0,Alto,30000-39999,700-799,20-24.990000000000002,40-59
Maruti,2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5.0,Alto,30000-39999,700-799,20-24.990000000000002,40-59
Hyundai,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5.0,i10,20000-29999,1000-1099,15-19.990000000000002,60-79
Maruti,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,5.0,Omni,30000-39999,700-799,10-14.99,20-39
Maruti,2010,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5.0,Wagon,40000-49999,900-999,25-29.990000000000002,40-59
Volkswagen,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5.0,Polo,40000-49999,1100-1199,15-19.990000000000002,60-79
Hyundai,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5.0,i10,40000-49999,1000-1099,15-19.990000000000002,60-79
Volkswagen,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5.0,Vento,10000-19999,1500-1599,15-19.990000000000002,100-119
Maruti,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5.0,Zen,50000-59999,900-999,15-19.990000000000002,60-79
Hyundai,2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5.0,i20,60000-69999,1100-1199,15-19.990000000000002,80-99
Maruti,2016,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Swift,150000-159999,1200-1299,25-29.990000000000002,60-79
Hyundai,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,5.0,Xcent,70000-79999,1100-1199,15-19.990000000000002,80-99
Maruti,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5.0,Alto,60000-69999,700-799,15-19.990000000000002,40-59
Hyundai,2017,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5.0,i20,110000-119999,1300-1399,20-24.990000000000002,80-99
Maruti,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5.0,Wagon,70000-79999,900-999,20-24.990000000000002,60-79
Tata,2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,5.0,Manza,100000-109999,1200-1299,15-19.990000000000002,80-99
Maruti,2019,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5.0,Swift,10000-19999,1100-1199,20-24.990000000000002,80-99
Maruti,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,7.0,Eeco,100000-109999,1100-1199,15-19.990000000000002,60-79
Maruti,2018,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,Baleno,30000-39999,1100-1199,20-24.990000000000002,80-99
Mahindra,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8.0,Scorpio,70000-79999,2100-2199,10-14.99,120-139
Ford,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,5.0,Freestyle,0-9999,1100-1199,15-19.990000000000002,80-99
Hyundai,2017,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,Verna,30000-39999,1500-1599,15-19.990000000000002,120-139
Volkswagen,2010,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,5.0,Passat,110000-119999,1700-1799,10-14.99,160-179
Tata,2010,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65.0,5.0,Indica,40000-49999,1100-1199,15-19.990000000000002,60-79
Mahindra,2019,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,7.0,XUV500,30000-39999,2100-2199,15-19.990000000000002,140-159
Tata,2016,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5.0,Indigo,100000-109999,1400-1499,15-19.990000000000002,60-79
Hyundai,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5.0,Verna,150000-159999,1500-1599,20-24.990000000000002,120-139
Hyundai,2013,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5.0,i20,60000-69999,1300-1399,20-24.990000000000002,80-99
Toyota,2009,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5.0,Corolla,100000-109999,1700-1799,10-14.99,120-139
Maruti,2020,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5.0,Celerio,10000-19999,900-999,20-24.990000000000002,60-79
Maruti,2016,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Vitara,60000-69999,1200-1299,20-24.990000000000002,80-99
Maruti,2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5.0,Swift,40000-49999,1100-1199,20-24.990000000000002,80-99
Maruti,2017,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,Wagon,30000-39999,900-999,20-24.990000000000002,60-79
Nissan,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5.0,Terrano,70000-79999,1400-1499,20-24.990000000000002,80-99
Hyundai,2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5.0,Creta,50000-59999,1500-1599,15-19.990000000000002,120-139
Ford,2017,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,5.0,EcoSport,70000-79999,1400-1499,20-24.990000000000002,80-99
Maruti,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5.0,Swift,170000-179999,1200-1299,15-19.990000000000002,60-79
Renault,2018,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5.0,KWID,20000-29999,900-999,20-24.990000000000002,60-79
Maruti,2015,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5.0,Celerio,40000-49999,900-999,20-24.990000000000002,60-79
Maruti,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5.0,Alto,60000-69999,700-799,15-19.990000000000002,40-59
Maruti,2013,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7.0,Ertiga,90000-99999,1200-1299,20-24.990000000000002,80-99
Hyundai,2009,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5.0,Santro,80000-89999,1000-1099,15-19.990000000000002,60-79
Maruti,2015,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7.0,Ertiga,110000-119999,1200-1299,20-24.990000000000002,80-99
Honda,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5.0,Amaze,0-9999,1100-1199,15-19.990000000000002,80-99
Audi,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,5.0,Q5,30000-39999,1900-1999,15-19.990000000000002,180-199
Lexus,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5.0,ES,20000-29999,2400-2499,20-24.990000000000002,200-219
Jaguar,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5.0,XF,40000-49999,1900-1999,15-19.990000000000002,160-179
Jeep,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,5.0,Wrangler,10000-19999,3600-3699,5-9.99,280-299
Land,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,7.0,Rover,20000-29999,1900-1999,10-14.99,140-159
Mercedes-Benz,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,5.0,S-Class,30000-39999,2900-2999,10-14.99,240-259
BMW,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,5.0,5,20000-29999,1900-1999,20-24.990000000000002,180-199
BMW,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5.0,X4,0-9999,1900-1999,15-19.990000000000002,180-199
Skoda,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,5.0,Superb,50000-59999,1700-1799,10-14.99,160-179
Mercedes-Benz,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,5.0,E-Class,30000-39999,2100-2199,15-19.990000000000002,200-219
MG,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,5.0,Hector,10000-19999,1400-1499,10-14.99,140-159
Honda,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497,117.6,5.0,City,40000-49999,1400-1499,15-19.990000000000002,100-119
Toyota,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5.0,Corolla,30000-39999,1700-1799,10-14.99,120-139
Volvo,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,5.0,XC40,20000-29999,1900-1999,15-19.990000000000002,180-199
Audi,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,7.0,Q7,50000-59999,2900-2999,10-14.99,240-259
Maruti,2015,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,5.0,Ciaz,40000-49999,1200-1299,25-29.990000000000002,80-99
Mercedes-Benz,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282.0,5.0,S-Class,40000-49999,2900-2999,10-14.99,280-299
BMW,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,5.0,5,70000-79999,2400-2499,10-14.99,140-159
Hyundai,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,5.0,Elantra,40000-49999,1700-1799,15-19.990000000000002,140-159
Jaguar,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5.0,XE,0-9999,1900-1999,10-14.99,160-179
Tata,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,5.0,Nexon,10000-19999,1100-1199,15-19.990000000000002,100-119
Volkswagen,2011,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5.0,Vento,40000-49999,1500-1599,15-19.990000000000002,100-119
Hyundai,2012,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5.0,Elantra,90000-99999,1700-1799,15-19.990000000000002,140-159
Skoda,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5.0,Rapid,10000-19999,1500-1599,10-14.99,100-119
Mercedes-Benz,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183.0,5.0,CLA,10000-19999,1900-1999,15-19.990000000000002,180-199
Maruti,2014,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,7.0,Ertiga,40000-49999,1300-1399,15-19.990000000000002,80-99
Mercedes-Benz,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,5.0,New,10000-19999,1900-1999,10-14.99,180-199
Honda,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,5.0,City,10000-19999,1400-1499,15-19.990000000000002,100-119
Toyota,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5.0,Glanza,0-9999,1100-1199,15-19.990000000000002,80-99
Maruti,2011,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5.0,Alto,10000-19999,900-999,20-24.990000000000002,60-79
Maruti,2012,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,5.0,Swift,20000-29999,1100-1199,20-24.990000000000002,80-99
Toyota,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7.0,Innova,40000-49999,2700-2799,10-14.99,160-179
Tata,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5.0,Nexon,0-9999,1400-1499,20-24.990000000000002,100-119
BMW,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,5.0,3,30000-39999,1900-1999,20-24.990000000000002,180-199
Toyota,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5.0,Camry,40000-49999,2400-2499,15-19.990000000000002,140-159
BMW,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190.0,5.0,5,10000-19999,1900-1999,15-19.990000000000002,180-199
Toyota,2009,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,5.0,Camry,70000-79999,2300-2399,10-14.99,160-179
Maruti,2016,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7.0,Ertiga,20000-29999,1300-1399,15-19.990000000000002,80-99
Volvo,2017,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969,400.0,4.0,XC90,30000-39999,1900-1999,40-44.99,400-419
Volkswagen,2011,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,5.0,Vento,100000-109999,1500-1599,20-24.990000000000002,100-119
Ford,2018,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5.0,Figo,0-9999,1100-1199,15-19.990000000000002,80-99
Ford,2011,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5.0,Figo,120000-129999,1300-1399,20-24.990000000000002,60-79
Maruti,2015,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5.0,Swift,30000-39999,1100-1199,20-24.990000000000002,80-99
Maruti,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,5.0,Wagon,50000-59999,900-999,20-24.990000000000002,60-79
Hyundai,2016,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5.0,i20,10000-19999,1100-1199,15-19.990000000000002,80-99
Maruti,1999,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4.0,800,40000-49999,700-799,15-19.990000000000002,20-39
Maruti,2010,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5.0,Ritz,120000-129999,1200-1299,20-24.990000000000002,60-79
Hyundai,2015,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5.0,Grand,70000-79999,1100-1199,15-19.990000000000002,80-99
Volkswagen,2019,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,5.0,Ameo,10000-19999,900-999,15-19.990000000000002,60-79
Hyundai,2014,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5.0,Grand,60000-69999,1100-1199,15-19.990000000000002,80-99
Maruti,2014,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5.0,Swift,30000-39999,1100-1199,15-19.990000000000002,80-99
Hyundai,2016,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,5.0,Xcent,40000-49999,1100-1199,15-19.990000000000002,80-99
Honda,2005,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,5.0,City,120000-129999,1400-1499,10-14.99,100-119
